Beam_Current,Cooling_Time,Collection_Time,Distance,Irradiation_Time,Total_Time
1e-05,6208.2735328651515,450.6140295718682,5.0,239.49408959467024,6898.38165203169
1e-05,6208.086450229259,451.0146527515779,5.0,239.27354864494382,6898.374651625781
9.174338966181011e-06,6226.031657040312,369.16183792390336,5.0,303.18974648392026,6898.383241448136
8.91290899169639e-06,6211.184785087403,387.2929172319696,5.0,299.9072482128895,6898.384950532262
9.062815598392577e-06,6213.930999485749,389.2707629047212,5.0,295.18211156478446,6898.383873955255
9.06107171368001e-06,6214.268930997376,388.45409570981184,5.0,295.66069468877885,6898.383721395966
8.984827379760333e-06,6211.543935183991,390.29824170993584,5.0,296.5432739153284,6898.385450809255
8.979404966175997e-06,6211.480547135721,390.14945472172866,5.0,296.75450194345586,6898.384503800906
9.004646524971957e-06,6212.041466407035,390.2711506495471,5.0,296.07193080396223,6898.384547860544
9.00530559538025e-06,6212.07143170575,390.24134532652494,5.0,296.0707831504941,6898.3835601827695
9.00528308073588e-06,6212.06980780705,390.2434951826393,5.0,296.068916053327,6898.3822190430155
8.498381795305927e-06,6194.8938795415,400.4841327796477,5.0,303.0058358146887,6898.383848135836
8.608087857984322e-06,6198.852334477035,397.75034101542786,5.0,301.7806527793603,6898.383328271822
8.155388124526175e-06,6187.918446184419,397.4430917130804,5.0,313.02165287892075,6898.38319077642
8.172346712936365e-06,6189.457290983166,395.0315539353841,5.0,313.8939867829254,6898.382831701476
8.176571353604568e-06,6188.954595603191,396.33200048276996,5.0,313.09642064515805,6898.383016731119
8.050122122449752e-06,6193.044385915088,380.9178189745549,5.0,324.4221796233951,6898.384384513039
8.016277167543371e-06,6196.522962780546,371.67698123589673,5.0,330.1842152038911,6898.3841592203335
7.987186423915106e-06,6198.416328969206,367.71082542015165,5.0,346.5430329671549,6912.6701873565125
7.986617792813644e-06,6198.453294510485,367.6335406524512,5.0,346.863892848763,6912.950728011699
7.986620797887542e-06,6198.453057219447,367.63418065556715,5.0,346.863253491126,6912.95049136614
7.986636925529141e-06,6198.451799158145,367.63753020101757,5.0,346.8594334118648,6912.948762771028
7.986717575304155e-06,6198.445507957606,367.65428019190034,5.0,346.8403293415649,6912.940117491072
7.987120640656287e-06,6198.414065912594,367.7379944281417,5.0,346.74486475460196,6912.896925095338
7.98913302174967e-06,6198.257078294033,368.1559936805756,5.0,346.26842211916164,6912.681494093769
7.999112683471894e-06,6197.478350592886,370.2300439151587,5.0,343.91087504748924,6911.619269555534
8.047213351161451e-06,6193.720254185019,380.2528257385295,5.0,332.6670275635708,6906.640107487119
8.241596111496771e-06,6178.524646405323,420.8036246002688,5.0,287.4436627704669,6886.771933776059
8.393121552005766e-06,6166.680022944798,452.4100989539452,5.0,252.1740630822155,6871.264184980959
8.57960755294367e-06,6152.102938744435,491.30648810106567,5.0,208.75451323332203,6852.163940078823
8.692058025520355e-06,6143.312813227378,514.7619017463617,5.0,182.57717458179775,6840.651889555537
8.446189561199816e-06,6162.5313502656145,463.4816735278095,5.0,239.8319356141329,6865.844959407556
8.335441926562672e-06,6171.187881937333,440.38361109349705,5.0,265.6210922886191,6877.19258531945
8.457113976194436e-06,6161.677019730923,465.76245405662104,5.0,237.2985415987037,6864.738015386249
9.347552171778867e-06,6092.073568336206,651.4897384772061,5.0,30.000000000002046,6773.563306813414
9.347658180591804e-06,6092.0642467221605,651.517387043262,5.0,30.0,6773.581633765422
9.347662405206948e-06,6092.064273766832,651.5175752661157,5.0,30.0,6773.5818490329475
9.347678269742992e-06,6092.062884963417,651.521698714113,5.0,30.0,6773.58458367753
9.347679298077302e-06,6092.062776488075,651.5220094145961,5.0,30.000008534877054,6773.584794437548
8.092063648314605e-06,6190.212390954944,389.61938684113534,5.0,322.28077738356865,6902.112555179648
8.442122069694301e-06,6162.849615025745,462.63332828337803,5.0,240.7849599977564,6866.26790330688
8.061608754538628e-06,6192.592905139689,383.26720784367,5.0,329.3702446226875,6905.230357606046
8.011269879762383e-06,6196.528029784479,372.76696625499227,5.0,341.08942687667104,6910.384422916142
8.038189611955221e-06,6194.424734977034,378.37994633538494,5.0,334.82445133830686,6907.629132650726
8.006586636685968e-06,6196.893924020373,371.79050886879475,5.0,342.17932289181005,6910.863755780978
8.015355829858554e-06,6196.208719224006,373.6190493856771,5.0,340.13833066267784,6909.966099272361
8.008402943177407e-06,6196.7524274202,372.1683660738885,5.0,341.7573554370188,6910.678148931107
8.024107298777415e-06,6195.527187464184,375.43921909355294,5.0,338.1059138332869,6909.072320391024
8.004756205846121e-06,6197.036931216533,371.40885989385714,5.0,342.605251314446,6911.051042424836
8.006186590272436e-06,6196.9261332849355,371.7051376422238,5.0,342.27418799439795,6910.9054589215575
8.014782116698107e-06,6196.2576670514845,373.4909827762478,5.0,340.27971493569135,6910.028364763423
8.005627673338158e-06,6196.967226877766,371.593878554003,5.0,342.3993862752328,6910.960491707002
8.004679818146839e-06,6197.042567596718,371.39361283538926,5.0,342.6224003300643,6911.058580762171
8.005898738559428e-06,6196.9457995221355,371.65090673740843,5.0,342.3358290187941,6910.932535278338
8.004509033615858e-06,6197.055964386147,371.35789386675833,5.0,342.6622445238638,6911.0761027767685
8.004531605051242e-06,6197.054083238717,371.36284116240944,5.0,342.65676825341615,6911.073692654542
8.004444199705328e-06,6197.061376979231,371.3436641169035,5.0,342.67798923935845,6911.083030335493
8.004445446110458e-06,6197.061335652714,371.3438090719921,5.0,342.67780512338055,6911.082949848086
8.011181582597593e-06,6197.061533497066,369.06429168536596,5.0,321.7897312432323,6887.915556425664
8.004657974960684e-06,6197.033855959417,371.4226651910391,5.0,342.7033143166855,6911.159835467142
8.004664665410896e-06,6197.033812608704,371.4207561541632,5.0,342.68455834387277,6911.13912710674
8.004669754011525e-06,6197.033800504483,371.4191560020894,5.0,342.669510316404,6911.122466822976
8.004673828106653e-06,6197.033799385208,371.41781397933636,5.0,342.65714072701763,6911.108754091562
8.004677083114298e-06,6197.033805673724,371.4166908456699,5.0,342.6469892714778,6911.097485790871
8.004679629189105e-06,6197.033814654781,371.4157835068134,5.0,342.63889661546403,6911.088494777058
8.004681606363232e-06,6197.033822710334,371.4150712666308,5.0,342.6325719503044,6911.081465927269
8.004683285942299e-06,6197.033829811435,371.4144644465693,5.0,342.6271899513269,6911.075484209331
8.00468460212502e-06,6197.033835423186,371.4139885956151,5.0,342.6229707287122,6911.070794747513
8.004685636524152e-06,6197.033839839704,371.4136145286959,5.0,342.6196542020021,6911.0671085704025
8.004686533736366e-06,6197.033843677367,371.4132900965355,5.0,342.6167778408236,6911.063911614726
8.004687219685987e-06,6197.03384661138,371.4130420513631,5.0,342.61457871958595,6911.061467382328
8.004687802321021e-06,6197.033849103975,371.4128313683524,5.0,342.6127108499258,6911.059391322253
8.00468824089956e-06,6197.033850980993,371.4126727823643,5.0,342.6113048678957,6911.057828631252
8.004688635162442e-06,6197.033852666505,371.41253020532935,5.0,342.6100408001997,6911.056423672033
8.004688922732321e-06,6197.033853897841,371.412426227557,5.0,342.6091189659543,6911.055399091353
8.004689155291032e-06,6197.033854892793,371.4123421335284,5.0,342.608373407162,6911.054570433483
8.0046893282874e-06,6197.033855632769,371.4122795761572,5.0,342.6078187863645,6911.05395399529
8.004689523832567e-06,6197.033856467857,371.4122088539483,5.0,342.6071917654728,6911.053257087277
8.11865242697939e-06,6196.037584503119,370.0962461863103,5.0,338.80585313720485,6904.939683826635
8.330356686875533e-06,6191.037584503119,365.09624618631034,5.0,333.8058531372049,6889.939683826635
9.435399189283636e-06,6166.037584503119,340.09624618631045,5.0,308.805853137205,6814.939683826635
